"","user_name","text","user_location","user_description","user_created","user_followers","user_friends","user_favourites","user_verified","date","hashtags","source"
"567","TWiT Tech Podcasts","- @StarFire2258  of The @Verge  talks about the new #Qi2 wireless charging standard
- @edward_the6  developed a tool to detect #ChatGPT-written text called GPTZero
Join @JasonHowell  here for more #TechNews: https://t.co/90s6c71712","Petaluma, CA","Tech podcasts with @leolaporte, @jasonhowell, @mikahsargent, @ant_pruitt, and friends at https://t.co/G4hHTlMn2x and ad-free extras at https://t.co/E72WzMPzNe","2009-08-10 20:39:18+00:00","80805.0","678.0","11224","True","2023-01-06 17:03:57+00:00","['Qi2']","eClincher"
"2719","Matt Aimonetti","Today I performed surgery on my horse (right hind leg). Sadly #ChatGPT wasn't useful at all, but the horse is still standing so I guess I did fine. https://t.co/0LrJkjcWLZ","Los Angeles, CA","New Stealth Project | @Splice co-founder - @XferRecords Advisor
(ex Microsoft,  PlayStation...) @mattetti@mastodon.social
 He/Him","2008-09-26 23:07:57+00:00","9983.0","1761.0","14495","True","2023-01-05 23:24:48+00:00","['ChatGPT']","Twitter for Android"
"5174","Manu Kumar (recruiting @HiHello 🚀)","Had two @K9Ventures founders tell me today about how they used #ChatGPT and #dalle2 to help w/some real work and it was amazing. I couldn’t get excited about crypto ever, but the AI stuff is going to be truly amazing for leveling up productivity and creativity. That’s exciting!","Palo Alto, CA","🦮 Human, Founder, Investor. Chief Firestarter at @K9Ventures. The O.G. for PreSeed. @lyft, @twilio, @playosmo, @CartaInc, @lucidchart, @auth0, @HiHello & more.","2008-04-22 13:08:40+00:00","33808.0","2394.0","29734","True","2023-01-05 06:58:47+00:00","['ChatGPT', 'dalle2']","Twitter for iPhone"
"7947","Manu Kumar (recruiting @HiHello 🚀)","Had two @K9Ventures founders tell me today about how they used #ChatGPT and #dalle2 to help w/some real work and it was amazing. I couldn’t get excited about crypto ever, but the AI stuff is going to be truly amazing for leveling up productivity and creativity. That’s exciting!","Palo Alto, CA","🦮 Human, Founder, Investor. Chief Firestarter at @K9Ventures. The O.G. for PreSeed. @lyft, @twilio, @playosmo, @CartaInc, @lucidchart, @auth0, @HiHello & more.","2008-04-22 13:08:40+00:00","33810.0","2394.0","29727","True","2023-01-05 06:58:47+00:00","['ChatGPT', 'dalle2']","Twitter for iPhone"
"9291","Tatiana Koffman","@cwrichardson @paulg I think the answer is #ChatGPT","Malibu, CA","Writer | Angel Investor | Newsletter @ https://t.co/mBOuuWfWlS","2013-02-25 02:20:07+00:00","12561.0","1684.0","5825","True","2023-01-04 19:18:45+00:00","['ChatGPT']","Twitter for iPhone"
"9481","Brian Solis","Where can you add *your* unique value proposition in a world where everyone starts their base work with a #ChatGPT prompt or by feeding qs, scenarios, instructions, and ideas to the same generative #AI platforms?

I promise this is your most vital resolution this year &amp; beyond.💡","Silicon Valley, CA","Global Innovation @Salesforce | 8x Best-Selling Author | Keynote Speaker | Digital Anthropologist | Futurist | Other Socials @BrianSolis |","2006-11-04 15:36:18+00:00","273358.0","3638.0","53666","True","2023-01-04 17:58:09+00:00","['ChatGPT']","Twitter Web App"
"9560","Brian Solis","Generative artificial intelligence is a fascinating breakthrough aimed at changing how people interact with information and how those prompts and responses impact our behavior, thinking, how we work, and our new methodologies.

1st, challenge yourself to add value to #ChatGPT.","Silicon Valley, CA","Global Innovation @Salesforce | 8x Best-Selling Author | Keynote Speaker | Digital Anthropologist | Futurist | Other Socials @BrianSolis |","2006-11-04 15:36:18+00:00","273358.0","3638.0","53666","True","2023-01-04 17:17:01+00:00","","Twitter Web App"
"9702","ZoneAlarm","Tech journalists have semi-seriously suggested that #ChatGPT might eventually replace Google as an internet-based search tool. Read more &gt;&gt; https://t.co/3OHwRs6LS1.

#cybersecurity #technology","San Carlos, CA","Since 1997, Check Point's ZoneAlarm has been trusted by nearly 100 million users worldwide to protect their PC users from all sorts of cyberattacks.","2007-08-01 20:59:28+00:00","5348.0","287.0","118","True","2023-01-04 16:19:14+00:00","['ChatGPT']","Twitter Web App"
"10057","Tatiana Koffman","I guess my work is done here 🤷🏻‍♀️ #ChatGPT https://t.co/ajT4TIHkT6","Malibu, CA","Writer | Angel Investor | Newsletter @ https://t.co/mBOuuWfWlS","2013-02-25 02:20:07+00:00","12561.0","1684.0","5825","True","2023-01-04 14:16:19+00:00","['ChatGPT']","Twitter for iPhone"
"10890","Mark Fidelman","Amazing 😆 #chatgpt https://t.co/BdQ38QYv3L","Los Angeles, CA","SmartBlocks CMO, Advisor for @TetraguardI | Tweeting daily about the past, present, and future of #DeFi and #securitytokens","2009-03-09 03:23:30+00:00","80779.0","34725.0","14668","True","2023-01-04 06:44:02+00:00","['chatgpt']","Twitter Web App"
