text,clean_doc,summary,nltk_sentiment_summary,nltk_sentiment_fulltext,transformer_sentiment_fulltext,transformer_score_fulltext,transformer_sentiment_summary,transformer_score_summary
"- @StarFire2258  of The @Verge  talks about the new #Qi2 wireless charging standard
- @edward_the6  developed a tool to detect #ChatGPT-written text called GPTZero
Join @JasonHowell  here for more #TechNews: https://t.co/90s6c71712",starfire verge talks new wireless charging standard edward developed tool detect written text called gptzero join jasonhowell https co c, starfire verge talks new wireless charging,Neutral,Positive,neutral,0.5506497025489807,neutral,0.8566877245903015
"Today I performed surgery on my horse (right hind leg). Sadly #ChatGPT wasn't useful at all, but the horse is still standing so I guess I did fine. https://t.co/0LrJkjcWLZ",today performed surgery horse right hind leg sadly useful horse still standing guess fine https co lrjkjcwlz, today performed surgery horse right hind leg,Neutral,Positive,positive,0.9849920272827148,neutral,0.8095920085906982
"Had two @K9Ventures founders tell me today about how they used #ChatGPT and #dalle2 to help w/some real work and it was amazing. I couldn’t get excited about crypto ever, but the AI stuff is going to be truly amazing for leveling up productivity and creativity. That’s exciting!",two k ventures founders tell today used help w real work amazing get excited crypto ever ai stuff going truly amazing leveling productivity creativity exciting, Two k ventures founders tell how crypto,Neutral,Positive,positive,0.9849920272827148,neutral,0.8095920085906982
"Had two @K9Ventures founders tell me today about how they used #ChatGPT and #dalle2 to help w/some real work and it was amazing. I couldn’t get excited about crypto ever, but the AI stuff is going to be truly amazing for leveling up productivity and creativity. That’s exciting!",two k ventures founders tell today used help w real work amazing get excited crypto ever ai stuff going truly amazing leveling productivity creativity exciting, Two k ventures founders tell how crypto,Neutral,Positive,neutral,0.8981364369392395,neutral,0.8689340949058533
@cwrichardson @paulg I think the answer is #ChatGPT,cwrichardson paulg think answer, cwrichardson paul,Neutral,Neutral,positive,0.599180281162262,neutral,0.8501535654067993
"Where can you add *your* unique value proposition in a world where everyone starts their base work with a #ChatGPT prompt or by feeding qs, scenarios, instructions, and ideas to the same generative #AI platforms?

I promise this is your most vital resolution this year &amp; beyond.💡",add unique value proposition world everyone starts base work prompt feeding qs scenarios instructions ideas generative platforms promise vital resolution year amp beyond, World everyone starts base work prompt feeding,Neutral,Positive,positive,0.5725249648094177,positive,0.9395577907562256
"Generative artificial intelligence is a fascinating breakthrough aimed at changing how people interact with information and how those prompts and responses impact our behavior, thinking, how we work, and our new methodologies.

1st, challenge yourself to add value to #ChatGPT.",generative artificial intelligence fascinating breakthrough aimed changing people interact information prompts responses impact behavior thinking work new methodologies st challenge add value, generative artificial intelligence is a breakthrough,Positive,Positive,neutral,0.7269391417503357,neutral,0.8123865723609924
"Tech journalists have semi-seriously suggested that #ChatGPT might eventually replace Google as an internet-based search tool. Read more &gt;&gt; https://t.co/3OHwRs6LS1.

#cybersecurity #technology",tech journalists semi seriously suggested might eventually replace google internet based search tool read gt gt https co ohwrs ls, tech journalists semi seriously suggested might eventually,Negative,Positive,neutral,0.8662694096565247,neutral,0.7240469455718994
I guess my work is done here 🤷🏻‍♀️ #ChatGPT https://t.co/ajT4TIHkT6,guess work done https co ajt tihkt, Ajt tihkt is,Neutral,Neutral,positive,0.8967694044113159,positive,0.9382592439651489
Amazing 😆 #chatgpt https://t.co/BdQ38QYv3L,amazing https co bdq qyv l, amazing https co bdq qy,Positive,Positive,neutral,0.8647153377532959,neutral,0.7740103602409363
"Google Introduces #ChatGPT-like ChatBot for #Healthcare

MultiMedQA consists of 6 existing open-question answering datasets along with a new one called HealthSearchQA.

Paper from Google Research &amp; @DeepMind: https://t.co/1L9t8qTFOA

via @Analyticsindiam 

https://t.co/v6gKIZV2iu",google introduces like chatbot multimedqa consists existing open question answering datasets along new one called healthsearchqa paper google research amp deepmind https co l qtfoa via analyticsindiam https co v gkizv iu, Google introduces like chatbot multimed,Positive,Positive,positive,0.8247931003570557,positive,0.9382489323616028
Thanks #chatgpt #crypto #toasterfinance 😂 https://t.co/70D5oei68o,thanks https co oei, thanks thanks to co-oei,Positive,Positive,neutral,0.8529298901557922,neutral,0.7804502844810486
"*
Want a FREE robot AI writing assistant that can help you research, brainstorm &amp; even help you WRITE OUTLINES &amp; DIALOGUE?

For real

It's #ChatGPT 

Heard about it? 

I'll show you how to turn it into your own robot screenwriting assistant

Hit the next Tweet in the chain

(1/2) https://t.co/Rf86ceoguK",want free robot ai writing assistant help research brainstorm amp even help write outlines amp dialogue real heard show turn robot screenwriting assistant hit next tweet chain https co rf ceoguk, Want free robot writing assistant help research,Positive,Positive,positive,0.7308281660079956,positive,0.5562185049057007
"Hey AI-
Which evidence-based New Year's Resolutions have the best chance of surviving a year and which ones are most helpful in bettering one's life?
#ChatGPT https://t.co/ahgJa8DMtj",hey ai evidence based new year resolutions best chance surviving year ones helpful bettering one life https co ahgja dmtj, Evidence based new year resolutions best chance,Positive,Positive,negative,0.682351291179657,neutral,0.906253457069397
"Some? 

#ChatGPT is already proving to be a windfall for students and employees seeking shortcuts.

""Some US educators are worried about ChatGPT enabling cheating; an OpenAI researcher says the it is running experiments to determine how to battle misuse"" https://t.co/CReuev578F",already proving windfall students employees seeking shortcuts us educators worried chatgpt enabling cheating openai researcher says running experiments determine battle misuse https co creuev f, Openai researcher says running experiments determine,Neutral,Negative,neutral,0.9133864641189575,neutral,0.5479802489280701
"I went to #ChatGPT after striking out at Home Depot, Amazon, and Google. Just what I was looking for! Which one of the three will be most vulnerable when ChatGPT-4 is released next year. https://t.co/iaqV0kfd7m",went striking home depot amazon google looking one three vulnerable chatgpt released next year https co iaqv kfd, Three vulnerable chatgpts will,Negative,Negative,positive,0.8908894658088684,positive,0.7976594567298889
"FREE: Would you enjoy a 1-hour basic, simple English video intro to #GPT3, the underlying tech that makes #ChatGPT work? Well, it's the holidays, so I'm making my popular course free for everyone for a few days. 

https://t.co/CSzx5zcAFr",free would enjoy hour basic simple english video intro underlying tech makes work well holidays making popular course free everyone days https co cszx zcafr, Free would enjoy hour basic simple english,Positive,Positive,neutral,0.7078729867935181,neutral,0.7387152314186096
"🤖 #SentinelLabs tested #ChatGPT to see how it can help reverse engineers and malware analysts. From finding patterns in #malware samples to understanding #vulnerabilities and exploit code, ChatGPT proved valuable. By @milenkowski and @philofishal 

https://t.co/J8witxH9bO",tested see help reverse engineers malware analysts finding patterns samples understanding exploit code chatgpt proved valuable milenkowski philofishal https co j witxh bo, Chatgpt helps reverse engineers malware,Positive,Positive,neutral,0.8276920914649963,neutral,0.8625302910804749
"#ChatGPT is an AI designed to answer questions based on context and one's earlier conversations with the AI. It holds the power to completely alter the way we interact and function and is the hottest space for a VC to invest in.

#AI #ArtificialIntelligence #investing",ai designed answer questions based context one earlier conversations ai holds power completely alter way interact function hottest space vc invest, ai designed answer questions based on,Neutral,Neutral,neutral,0.7374937534332275,neutral,0.8421109318733215
Developing a late-night talk show and have hired #ChatGPT as the head writer: https://t.co/RsnubgoO6a,developing late night talk show hired head writer https co rsnubgoo, developing late night talk show hired head,Neutral,Neutral,neutral,0.777194082736969,neutral,0.722678542137146
"Is every cloud storage company like @Box @Dropbox @googledrive @iCloud @onedrive and email provider like @gmail @Outlook etc racing to incorporate #ChatGPT as quickly as possible to finally offer semantic search &amp; end the painful effort we make to find our own work, history, etc?",every cloud storage company like box dropbox googledrive icloud onedrive email provider like gmail outlook etc racing incorporate quickly possible finally offer semantic search amp end painful effort make find work history etc, every cloud storage company like box drop,Positive,Positive,neutral,0.5991120934486389,neutral,0.7178963422775269
"What do you think? I dont believe @Google position is threatened just yet, unless #OpenAI starts to take market share of ad spend. Its a fair distance away from that #ChatGPT",think dont believe google position threatened yet unless starts take market share ad spend fair distance away, Google says it is not threatened by,Positive,Positive,neutral,0.8874320983886719,neutral,0.8395922780036926
